HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
L1007,Scoliosis orth s-c custom,"Scoliosis orthosis, sagittal-coronal control provided by a rigid lateral frame, extends from axilla, to trochanter, includes all accessory pads, straps, and interface, custom fabricated"
L1010,Ctlso axilla sling,"Addition to cervical-thoracic-lumbar-sacral orthosis (ctlso) or scoliosis orthosis, axilla sling"
L1020,Kyphosis pad,"Addition to ctlso or scoliosis orthosis, kyphosis pad"
L1025,Kyphosis pad floating,"Addition to ctlso or scoliosis orthosis, kyphosis pad, floating"
L1030,Lumbar bolster pad,"Addition to ctlso or scoliosis orthosis, lumbar bolster pad"
L1040,Lumbar or lumbar rib pad,"Addition to ctlso or scoliosis orthosis, lumbar or lumbar rib pad"
L1050,Sternal pad,"Addition to ctlso or scoliosis orthosis, sternal pad"
L1060,Thoracic pad,"Addition to ctlso or scoliosis orthosis, thoracic pad"
L1070,Trapezius sling,"Addition to ctlso or scoliosis orthosis, trapezius sling"
L1080,Outrigger,"Addition to ctlso or scoliosis orthosis, outrigger"
L1085,Outrigger bil w/ vert extens,"Addition to ctlso or scoliosis orthosis, outrigger, bilateral with vertical extensions"
L1090,Lumbar sling,"Addition to ctlso or scoliosis orthosis, lumbar sling"
L1100,Ring flange plastic/leather,"Addition to ctlso or scoliosis orthosis, ring flange, plastic or leather"
L1110,Ring flange plas/leather mol,"Addition to ctlso or scoliosis orthosis, ring flange, plastic or leather, molded to patient model"
L1120,Covers for upright each,"Addition to ctlso, scoliosis orthosis, cover for upright, each"
L1200,Furnsh initial orthosis only,"Thoracic-lumbar-sacral-orthosis (tlso), inclusive of furnishing initial orthosis only"
L1210,Lateral thoracic extension,"Addition to tlso, (low profile), lateral thoracic extension"
L1220,Anterior thoracic extension,"Addition to tlso, (low profile), anterior thoracic extension"
L1230,Milwaukee type superstructur,"Addition to tlso, (low profile), milwaukee type superstructure"
L1240,Lumbar derotation pad,"Addition to tlso, (low profile), lumbar derotation pad"
L1250,Anterior asis pad,"Addition to tlso, (low profile), anterior asis pad"
L1260,Anterior thoracic derotation,"Addition to tlso, (low profile), anterior thoracic derotation pad"
L1270,Abdominal pad,"Addition to tlso, (low profile), abdominal pad"
L1280,Rib gusset (elastic) each,"Addition to tlso, (low profile), rib gusset (elastic), each"
L1290,Lateral trochanteric pad,"Addition to tlso, (low profile), lateral trochanteric pad"
L1300,Body jacket mold to patient,"Other scoliosis procedure, body jacket molded to patient model"
L1310,Post-operative body jacket,"Other scoliosis procedure, post-operative body jacket"
L1320,Pectus carinatum ortho cust,"Thoracic, pectus carinatum orthosis, sternal compression, rigid circumferential frame with anterior and posterior rigid pads, custom fabricated"
L1499,Spinal orthosis nos,"Spinal orthosis, not otherwise specified"
L1600,Ho flex frejka w/cov pre cst,"Hip orthosis, abduction control of hip joints, flexible, frejka type with cover, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an inidividual with expertise"
L1610,Ho frejka cov only pre cst,"Hip orthosis, abduction control of hip joints, flexible, (frejka cover only), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1620,Ho flex pavlik harns pre cst,"Hip orthosis, abduction control of hip joints, flexible, (pavlik harness), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1630,Abduct control hip semi-flex,"Hip orthosis, abduction control of hip joints, semi-flexible (von rosen type), custom fabricated"
L1640,Pelv band/spread bar thigh c,"Hip orthosis, abduction control of hip joints, static, pelvic band or spreader bar, thigh cuffs, custom fabricated"
L1650,Ho abduction hip adjustable,"Hip orthosis, abduction control of hip joints, static, adjustable, (ilfled type), prefabricated, includes fitting and adjustment"
L1652,Ho bi thighcuffs w sprdr bar,"Hip orthosis, bilateral thigh cuffs with adjustable abductor spreader bar, adult size, prefabricated, includes fitting and adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1653,Ho abduction static ots,"Hip orthosis, bilateral thigh cuffs with adjustable abductor spreader bar, adult size, prefabricated, off the shelf"
L1660,Ho abduction static plastic,"Hip orthosis, abduction control of hip joints, static, plastic, prefabricated, includes fitting and adjustment"
L1680,Pelvic & hip control thigh c,"Hip orthosis, abduction control of hip joints, dynamic, pelvic control, adjustable hip motion control, thigh cuffs (rancho hip action type), custom fabricated"
L1681,Ho bilateral hip abduction,"Hip orthosis, bilateral hip joints and thigh cuffs, adjustable flexion, extension, abduction control of hip joint, postoperative hip abduction type, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1685,Post-op hip abduct custom fa,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, custom fabricated"
L1686,Ho post-op hip abduction,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, prefabricated, includes fitting and adjustment"
L1690,Combination bilateral ho,"Combination, bilateral, lumbo-sacral, hip, femur orthosis providing adduction and internal rotation control, prefabricated, includes fitting and adjustment"
L1700,Leg perthes orth toronto typ,"Legg perthes orthosis, (toronto type), custom fabricated"
L1710,Legg perthes orth newington,"Legg perthes orthosis, (newington type), custom fabricated"
L1720,Legg perthes orthosis trilat,"Legg perthes orthosis, trilateral, (tachdijan type), custom fabricated"
L1730,Legg perthes orth scottish r,"Legg perthes orthosis, (scottish rite type), custom fabricated"
L1755,Legg perthes patten bottom t,"Legg perthes orthosis, (patten bottom type), custom fabricated"
L1810,Ko elastic with joints,"Knee orthosis, elastic with joints, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1812,Ko elastic w/joints pre ots,"Knee orthosis, elastic with joints, prefabricated, off-the-shelf"
L1820,Ko elas w/ condyle pads & jo,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1821,Ko elas w/ condyle pads otf,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, off the shelf"
L1830,Ko immob canvas long pre ots,"Knee orthosis, immobilizer, canvas longitudinal, prefabricated, off-the-shelf"
L1831,Knee orth pos locking joint,"Knee orthosis, locking knee joint(s), positional orthosis, prefabricated, includes fitting and adjustment"
L1832,Ko adj jnt pos r sup pre cst,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1833,Ko adj jnt pos r sup pre ots,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf"
L1834,Ko w/0 joint rigid molded to,"Knee orthosis, without knee joint, rigid, custom fabricated"
L1836,Ko rigid w/o joints pre ots,"Knee orthosis, rigid, without joint(s), includes soft interface material, prefabricated, off-the-shelf"
L1840,Ko derot ant cruciate custom,"Knee orthosis, derotation, medial-lateral, anterior cruciate ligament, custom fabricated"
L1843,Ko single upright pre cst,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1844,Ko w/adj jt rot cntrl molded,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, custom fabricated"
L1845,Ko double upright pre cst,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1846,Ko w adj flex/ext rotat mold,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, custom fabricated"
L1847,Ko dbl upright w/air pre cst,"Knee orthosis, double upright with adjustable joint, with inflatable air support chamber(s), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1848,Ko dbl upright w/air pre ots,"Knee orthosis, double upright with adjustable joint, with inflatable air support chamber(s), prefabricated, off-the-shelf"
L1850,Ko swedish type pre ots,"Knee orthosis, swedish type, prefabricated, off-the-shelf"
L1851,Ko single upright prefab ots,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf"
L1852,Ko double upright prefab ots,"Knee orthosis (ko), double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf"
L1860,Ko supracondylar socket mold,"Knee orthosis, modification of supracondylar prosthetic socket, custom fabricated (sk)"
L1900,Afo sprng wir drsflx calf bd,"Ankle foot orthosis, spring wire, dorsiflexion assist calf band, custom fabricated"
L1902,Afo ankle gauntlet pre ots,"Ankle orthosis, ankle gauntlet or similar, with or without joints, prefabricated, off-the-shelf"
L1904,Afo molded ankle gauntlet,"Ankle orthosis, ankle gauntlet or similar, with or without joints, custom fabricated"
L1906,Afo multilig ank sup pre ots,"Ankle foot orthosis, multiligamentous ankle support, prefabricated, off-the-shelf"
L1907,Afo supramalleolar custom,"Ankle orthosis, supramalleolar with straps, with or without interface/pads, custom fabricated"
L1910,Afo sing bar clasp attach sh,"Ankle foot orthosis, posterior, single bar, clasp attachment to shoe counter, prefabricated, includes fitting and adjustment"
L1920,Afo sing upright w/ adjust s,"Ankle foot orthosis, single upright with static or adjustable stop (phelps or perlstein type), custom fabricated"
L1930,Afo plastic,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment"
L1932,Afo rig ant tib tcf/= custom,"Ankle foot orthosis, rigid anterior tibial section, total carbon fiber or equal material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1933,Afo rig ant tib tcf/= ots,"Ankle foot orthosis, rigid anterior tibial section, total carbon fiber or equal material, prefabricated, off-the-shelf"
L1940,Afo molded to patient plasti,"Ankle foot orthosis, plastic or other material, custom fabricated"
L1945,Afo molded plas rig ant tib,"Ankle foot orthosis, plastic, rigid anterior tibial section (floor reaction), custom fabricated"
L1950,Afo spiral molded to pt plas,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic, custom fabricated"
L1951,Afo spiral prefab custom,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic or other material, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"
L1952,Afo spiral prefab ots,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic or other material, prefabricated, off-the-shelf"
L1960,Afo pos solid ank plastic mo,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated"
L1970,Afo plastic molded w/ankle j,"Ankle foot orthosis, plastic with ankle joint, custom fabricated"
L1971,"Afo w/ankle joint, prefab","Ankle foot orthosis, plastic or other material with ankle joint, with or without dorsiflexion assist, prefabricated, includes fitting and adjustment"
L1980,Afo sing solid stirrup calf,"Ankle foot orthosis, single upright free plantar dorsiflexion, solid stirrup, calf band/cuff (single bar 'bk' orthosis), custom fabricated"
L1990,Afo doub solid stirrup calf,"Ankle foot orthosis, double upright free plantar dorsiflexion, solid stirrup, calf band/cuff (double bar 'bk' orthosis), custom fabricated"
L2000,Kafo sing fre stirr thi/calf,"Knee ankle foot orthosis, single upright, free knee, free ankle, solid stirrup, thigh and calf bands/cuffs (single bar 'ak' orthosis), custom fabricated"
L2005,Kafo sng/dbl mechanical act,"Knee ankle foot orthosis, any material, single or double upright, stance control, automatic lock and swing phase release, any type activation, includes ankle joint, any type, custom fabricated"
L2006,Kaf sng/dbl swg/stn mcpr cus,"Knee ankle foot device, any material, single or double upright, swing and stance phase microprocessor control with adjustability, includes all components (e.g., sensors, batteries, charger), any type activation, with or without ankle joint(s), custom fabricated"
L2010,Kafo sng solid stirrup w/o j,"Knee ankle foot orthosis, single upright, free ankle, solid stirrup, thigh and calf bands/cuffs (single bar 'ak' orthosis), without knee joint, custom fabricated"
L2020,Kafo dbl solid stirrup band/,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and calf bands/cuffs (double bar 'ak' orthosis), custom fabricated"
L2030,Kafo dbl solid stirrup w/o j,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and calf bands/cuffs, (double bar 'ak' orthosis), without knee joint, custom fabricated"
L2034,Kafo pla sin up w/wo k/a cus,"Knee ankle foot orthosis, full plastic, single upright, with or without free motion knee, medial lateral rotation control, with or without free motion ankle, custom fabricated"
L2035,Kafo plastic pediatric size,"Knee ankle foot orthosis, full plastic, static (pediatric size), without free motion ankle, prefabricated, includes fitting and adjustment"
L2036,Kafo plas doub free knee mol,"Knee ankle foot orthosis, full plastic, double upright, with or without free motion knee, with or without free motion ankle, custom fabricated"
L2037,Kafo plas sing free knee mol,"Knee ankle foot orthosis, full plastic, single upright, with or without free motion knee, with or without free motion ankle, custom fabricated"
L2038,Kafo w/o joint multi-axis an,"Knee ankle foot orthosis, full plastic, with or without free motion knee, multi-axis ankle, custom fabricated"
L2040,Hkafo torsion bil rot straps,"Hip knee ankle foot orthosis, torsion control, bilateral rotation straps, pelvic band/belt, custom fabricated"
L2050,Hkafo torsion cable hip pelv,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, hip joint, pelvic band/belt, custom fabricated"
L2060,Hkafo torsion ball bearing j,"Hip knee ankle foot orthosis, torsion control, bilateral torsion cables, ball bearing hip joint, pelvic band/ belt, custom fabricated"
L2070,Hkafo torsion unilat rot str,"Hip knee ankle foot orthosis, torsion control, unilateral rotation straps, pelvic band/belt, custom fabricated"
L2080,Hkafo unilat torsion cable,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, hip joint, pelvic band/belt, custom fabricated"
L2090,Hkafo unilat torsion ball br,"Hip knee ankle foot orthosis, torsion control, unilateral torsion cable, ball bearing hip joint, pelvic band/ belt, custom fabricated"
L2106,Afo tib fx cast plaster mold,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, thermoplastic type casting material, custom fabricated"
L2108,Afo tib fx cast molded to pt,"Ankle foot orthosis, fracture orthosis, tibial fracture cast orthosis, custom fabricated"
L2112,Afo tibial fracture soft,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, soft, prefabricated, includes fitting and adjustment"
L2114,Afo tib fx semi-rigid,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, semi-rigid, prefabricated, includes fitting and adjustment"
L2116,Afo tibial fracture rigid,"Ankle foot orthosis, fracture orthosis, tibial fracture orthosis, rigid, prefabricated, includes fitting and adjustment"
L2126,Kafo fem fx cast thermoplas,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis, thermoplastic type casting material, custom fabricated"
L2128,Kafo fem fx cast molded to p,"Knee ankle foot orthosis, fracture orthosis, femoral fracture cast orthosis, custom fabricated"
L2132,Kafo femoral fx cast soft,"Kafo, fracture orthosis, femoral fracture cast orthosis, soft, prefabricated, includes fitting and adjustment"
L2134,Kafo fem fx cast semi-rigid,"Kafo, fracture orthosis, femoral fracture cast orthosis, semi-rigid, prefabricated, includes fitting and adjustment"
L2136,Kafo femoral fx cast rigid,"Kafo, fracture orthosis, femoral fracture cast orthosis, rigid, prefabricated, includes fitting and adjustment"
L2180,Plas shoe insert w ank joint,"Addition to lower extremity fracture orthosis, plastic shoe insert with ankle joints"
L2182,Drop lock knee,"Addition to lower extremity fracture orthosis, drop lock knee joint"
L2184,Limited motion knee joint,"Addition to lower extremity fracture orthosis, limited motion knee joint"
L2186,Adj motion knee jnt lerman t,"Addition to lower extremity fracture orthosis, adjustable motion knee joint, lerman type"
L2188,Quadrilateral brim,"Addition to lower extremity fracture orthosis, quadrilateral brim"
L2190,Waist belt,"Addition to lower extremity fracture orthosis, waist belt"
L2192,Pelvic band & belt thigh fla,"Addition to lower extremity fracture orthosis, hip joint, pelvic band, thigh flange, and pelvic belt"
L2200,Limited ankle motion ea jnt,"Addition to lower extremity, limited ankle motion, each joint"
L2210,Dorsiflexion assist each joi,"Addition to lower extremity, dorsiflexion assist (plantar flexion resist), each joint"
L2220,Dorsi & plantar flex ass/res,"Addition to lower extremity, dorsiflexion and plantar flexion assist/resist, each joint"
L2230,Split flat caliper stirr & p,"Addition to lower extremity, split flat caliper stirrups and plate attachment"
L2232,"Rocker bottom, contact afo","Addition to lower extremity orthosis, rocker bottom for total contact ankle foot orthosis, for custom fabricated orthosis only"
L2240,Round caliper and plate atta,"Addition to lower extremity, round caliper and plate attachment"
L2250,Foot plate molded stirrup at,"Addition to lower extremity, foot plate, molded to patient model, stirrup attachment"
L2260,Reinforced solid stirrup,"Addition to lower extremity, reinforced solid stirrup (scott-craig type)"
L2265,Long tongue stirrup,"Addition to lower extremity, long tongue stirrup"
L2270,Varus/valgus strap padded/li,"Addition to lower extremity, varus/valgus correction ('t') strap, padded/lined or malleolus pad"
L2275,Plastic mod low ext pad/line,"Addition to lower extremity, varus/valgus correction, plastic modification, padded/lined"
L2280,Molded inner boot,"Addition to lower extremity, molded inner boot"
L2300,Abduction bar jointed adjust,"Addition to lower extremity, abduction bar (bilateral hip involvement), jointed, adjustable"
L2310,Abduction bar-straight,"Addition to lower extremity, abduction bar-straight"
L2320,Non-molded lacer,"Addition to lower extremity, non-molded lacer, for custom fabricated orthosis only"
L2330,Lacer molded to patient mode,"Addition to lower extremity, lacer molded to patient model, for custom fabricated orthosis only"
L2335,Anterior swing band,"Addition to lower extremity, anterior swing band"
L2340,Pre-tibial shell molded to p,"Addition to lower extremity, pre-tibial shell, molded to patient model"
L2350,Prosthetic type socket molde,"Addition to lower extremity, prosthetic type, (bk) socket, molded to patient model, (used for 'ptb' 'afo' orthoses)"
L2360,Extended steel shank,"Addition to lower extremity, extended steel shank"
L2370,Patten bottom,"Addition to lower extremity, patten bottom"
L2375,Torsion ank & half solid sti,"Addition to lower extremity, torsion control, ankle joint and half solid stirrup"
L2380,Torsion straight knee joint,"Addition to lower extremity, torsion control, straight knee joint, each joint"
L2385,Straight knee joint heavy du,"Addition to lower extremity, straight knee joint, heavy duty, each joint"
L2387,Add le poly knee custom kafo,"Addition to lower extremity, polycentric knee joint, for custom fabricated knee ankle foot orthosis, each joint"
L2390,Offset knee joint each,"Addition to lower extremity, offset knee joint, each joint"
L2395,Offset knee joint heavy duty,"Addition to lower extremity, offset knee joint, heavy duty, each joint"
L2397,Suspension sleeve lower ext,"Addition to lower extremity orthosis, suspension sleeve"
L2405,Knee joint drop lock ea jnt,"Addition to knee joint, drop lock, each"
L2415,Knee joint cam lock each joi,"Addition to knee lock with integrated release mechanism (bail, cable, or equal), any material, each joint"
L2425,Knee disc/dial lock/adj flex,"Addition to knee joint, disc or dial lock for adjustable knee flexion, each joint"
L2430,Knee jnt ratchet lock ea jnt,"Addition to knee joint, ratchet lock for active and progressive knee extension, each joint"
L2492,Knee lift loop drop lock rin,"Addition to knee joint, lift loop for drop lock ring"
L2500,Thi/glut/ischia wgt bearing,"Addition to lower extremity, thigh/weight bearing, gluteal/ ischial weight bearing, ring"
L2510,Th/wght bear quad-lat brim m,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, molded to patient model"
L2520,Th/wght bear quad-lat brim c,"Addition to lower extremity, thigh/weight bearing, quadri- lateral brim, custom fitted"
L2525,Th/wght bear nar m-l brim mo,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow m-l brim molded to patient model"
L2526,Th/wght bear nar m-l brim cu,"Addition to lower extremity, thigh/weight bearing, ischial containment/narrow m-l brim, custom fitted"
L2530,Thigh/wght bear lacer non-mo,"Addition to lower extremity, thigh-weight bearing, lacer, non-molded"
L2540,Thigh/wght bear lacer molded,"Addition to lower extremity, thigh/weight bearing, lacer, molded to patient model"
L2550,Thigh/wght bear high roll cu,"Addition to lower extremity, thigh/weight bearing, high roll cuff"
L2570,Hip clevis type 2 posit jnt,"Addition to lower extremity, pelvic control, hip joint, clevis type two position joint, each"
L2580,Pelvic control pelvic sling,"Addition to lower extremity, pelvic control, pelvic sling"
L2600,Hip clevis/thrust bearing fr,"Addition to lower extremity, pelvic control, hip joint, clevis type, or thrust bearing, free, each"
L2610,Hip clevis/thrust bearing lo,"Addition to lower extremity, pelvic control, hip joint, clevis or thrust bearing, lock, each"
L2620,Pelvic control hip heavy dut,"Addition to lower extremity, pelvic control, hip joint, heavy duty, each"
L2622,Hip joint adjustable flexion,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, each"
L2624,Hip adj flex ext abduct cont,"Addition to lower extremity, pelvic control, hip joint, adjustable flexion, extension, abduction control, each"
L2627,Plastic mold recipro hip & c,"Addition to lower extremity, pelvic control, plastic, molded to patient model, reciprocating hip joint and cables"
L2628,Metal frame recipro hip & ca,"Addition to lower extremity, pelvic control, metal frame, reciprocating hip joint and cables"
L2630,Pelvic control band & belt u,"Addition to lower extremity, pelvic control, band and belt, unilateral"
L2640,Pelvic control band & belt b,"Addition to lower extremity, pelvic control, band and belt, bilateral"
L2650,Pelv & thor control gluteal,"Addition to lower extremity, pelvic and thoracic control, gluteal pad, each"
L2660,Thoracic control thoracic ba,"Addition to lower extremity, thoracic control, thoracic band"
L2670,Thorac cont paraspinal uprig,"Addition to lower extremity, thoracic control, paraspinal uprights"
L2680,Thorac cont lat support upri,"Addition to lower extremity, thoracic control, lateral support uprights"
L2750,Plating chrome/nickel pr bar,"Addition to lower extremity orthosis, plating chrome or nickel, per bar"
L2755,Carbon graphite lamination,"Addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, per segment, for custom fabricated orthosis only"
L2760,Extension per extension per,"Addition to lower extremity orthosis, extension, per extension, per bar (for lineal adjustment for growth)"
L2768,Ortho sidebar disconnect,"Orthotic side bar disconnect device, per bar"
L2780,Non-corrosive finish,"Addition to lower extremity orthosis, non-corrosive finish, per bar"
L2785,Drop lock retainer each,"Addition to lower extremity orthosis, drop lock retainer, each"
L2795,Knee control full kneecap,"Addition to lower extremity orthosis, knee control, full kneecap"
L2800,Knee cap medial or lateral p,"Addition to lower extremity orthosis, knee control, knee cap, medial or lateral pull, for use with custom fabricated orthosis only"
L2810,Knee control condylar pad,"Addition to lower extremity orthosis, knee control, condylar pad"
L2820,Soft interface below knee se,"Addition to lower extremity orthosis, soft interface for molded plastic, below knee section"
L2830,Soft interface above knee se,"Addition to lower extremity orthosis, soft interface for molded plastic, above knee section"
L2840,Tibial length sock fx or equ,"Addition to lower extremity orthosis, tibial length sock, fracture or equal, each"
L2850,Femoral lgth sock fx or equa,"Addition to lower extremity orthosis, femoral length sock, fracture or equal, each"
L2861,Torsion mechanism knee/ankle,"Addition to lower extremity joint, knee or ankle, concentric adjustable torsion style mechanism for custom fabricated orthotics only, each"
L2999,Lower extremity orthosis nos,"Lower extremity orthoses, not otherwise specified"
L3000,Ft insert ucb berkeley shell,"Foot, insert, removable, molded to patient model, 'ucb' type, berkeley shell, each"
L3001,Foot insert remov molded spe,"Foot, insert, removable, molded to patient model, spenco, each"
L3002,Foot insert plastazote or eq,"Foot, insert, removable, molded to patient model, plastazote or equal, each"
L3003,Foot insert silicone gel eac,"Foot, insert, removable, molded to patient model, silicone gel, each"
L3010,Foot longitudinal arch suppo,"Foot, insert, removable, molded to patient model, longitudinal arch support, each"
L3020,Foot longitud/metatarsal sup,"Foot, insert, removable, molded to patient model, longitudinal/ metatarsal support, each"
L3030,Foot arch support remov prem,"Foot, insert, removable, formed to patient foot, each"
L3031,Foot lamin/prepreg composite,"Foot, insert/plate, removable, addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, each"
L3040,Ft arch suprt premold longit,"Foot, arch support, removable, premolded, longitudinal, each"
L3050,Foot arch supp premold metat,"Foot, arch support, removable, premolded, metatarsal, each"
L3060,Foot arch supp longitud/meta,"Foot, arch support, removable, premolded, longitudinal/ metatarsal, each"
L3070,Arch suprt att to sho longit,"Foot, arch support, non-removable attached to shoe, longitudinal, each"
L3080,Arch supp att to shoe metata,"Foot, arch support, non-removable attached to shoe, metatarsal, each"
L3090,Arch supp att to shoe long/m,"Foot, arch support, non-removable attached to shoe, longitudinal/metatarsal, each"
L3100,Hallus-valgus nt dyn pre ots,"Hallus-valgus night dynamic splint, prefabricated, off-the-shelf"
L3140,Abduction rotation bar shoe,"Foot, abduction rotation bar, including shoes"
L3150,Abduct rotation bar w/o shoe,"Foot, abduction rotation bar, without shoes"
L3160,Shoe styled positioning dev,"Foot, adjustable shoe-styled positioning device"
L3161,"Foot, adductus position, adj","Foot, adductus positioning device, adjustable"
L3170,Foot plas heel stabi pre ots,"Foot, plastic, silicone or equal, heel stabilizer, prefabricated, off-the-shelf, each"
L3201,Oxford w supinat/pronat inf,"Orthopedic shoe, oxford with supinator or pronator, infant"
L3202,Oxford w/ supinat/pronator c,"Orthopedic shoe, oxford with supinator or pronator, child"
L3203,Oxford w/ supinator/pronator,"Orthopedic shoe, oxford with supinator or pronator, junior"
L3204,Hightop w/ supp/pronator inf,"Orthopedic shoe, hightop with supinator or pronator, infant"
L3206,Hightop w/ supp/pronator chi,"Orthopedic shoe, hightop with supinator or pronator, child"
L3207,Hightop w/ supp/pronator jun,"Orthopedic shoe, hightop with supinator or pronator, junior"
L3208,Surgical boot each infant,"Surgical boot, each, infant"
L3209,Surgical boot each child,"Surgical boot, each, child"
L3211,Surgical boot each junior,"Surgical boot, each, junior"
L3212,Benesch boot pair infant,"Benesch boot, pair, infant"
L3213,Benesch boot pair child,"Benesch boot, pair, child"
L3214,Benesch boot pair junior,"Benesch boot, pair, junior"
L3215,Orthopedic ftwear ladies oxf,"Orthopedic footwear, ladies shoe, oxford, each"
L3216,Orthoped ladies shoes dpth i,"Orthopedic footwear, ladies shoe, depth inlay, each"
L3217,Ladies shoes hightop depth i,"Orthopedic footwear, ladies shoe, hightop, depth inlay, each"
L3219,Orthopedic mens shoes oxford,"Orthopedic footwear, mens shoe, oxford, each"
L3221,Orthopedic mens shoes dpth i,"Orthopedic footwear, mens shoe, depth inlay, each"
L3222,Mens shoes hightop depth inl,"Orthopedic footwear, mens shoe, hightop, depth inlay, each"
L3224,Woman's shoe oxford brace,"Orthopedic footwear, woman's shoe, oxford, used as an integral part of a brace (orthosis)"
L3225,Man's shoe oxford brace,"Orthopedic footwear, man's shoe, oxford, used as an integral part of a brace (orthosis)"
L3230,Custom shoes depth inlay,"Orthopedic footwear, custom shoe, depth inlay, each"
L3250,Custom mold shoe remov prost,"Orthopedic footwear, custom molded shoe, removable inner mold, prosthetic shoe, each"
L3251,Shoe molded to pt silicone s,"Foot, shoe molded to patient model, silicone shoe, each"
L3252,Shoe molded plastazote cust,"Foot, shoe molded to patient model, plastazote (or similar), custom fabricated, each"
L3253,Shoe molded plastazote cust,"Foot, molded shoe plastazote (or similar) custom fitted, each"
L3254,Orth foot non-stndard size/w,Non-standard size or width
L3255,Orth foot non-standard size/,Non-standard size or length
L3257,Orth foot add charge split s,"Orthopedic footwear, additional charge for split size"
L3260,Ambulatory surgical boot eac,"Surgical boot/shoe, each"
L3265,Plastazote sandal each,"Plastazote sandal, each"
L3300,Sho lift taper to metatarsal,"Lift, elevation, heel, tapered to metatarsals, per inch"
L3310,Shoe lift elev heel/sole neo,"Lift, elevation, heel and sole, neoprene, per inch"
L3320,Shoe lift elev heel/sole cor,"Lift, elevation, heel and sole, cork, per inch"
L3330,Lifts elevation metal extens,"Lift, elevation, metal extension (skate)"
L3332,Shoe lifts tapered to one-ha,"Lift, elevation, inside shoe, tapered, up to one-half inch"
